Variable	Value	Extraction method	Relevant text
Dictionary	LIWC2007	Reported	
N texts	44	Inferred	
N authors	44	Reported	
N authors (Female gender)	23	Reported	
N authors (Male gender)	21	Reported	
N authors (Other or unspecified gender)	0	Reported	
Age (M)	25.63	Reported	
Recruitment	University canvasing	Reported	
Population	Undergraduates		
Country	UK		
Timeframe			
Probe	Recent dream	Reported	"""Could you please recall a dream in as much detail as possible?"""
Response context	Street	Reported	
Response format	Interview	Reported	
Response medium	Spoken	Reported	
Response language (source)	English		
Response language (target)	English		
